Country,YearsCode,YearsCodePro,WorkExp,DevType,Age,EdLevel,LanguageHaveWorkedWith,ConvertedCompYearly
Poland,8.0,3.0,3.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,28711.0
United Kingdom of Great Britain and Northern Ireland,8.0,7.0,7.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;C++;Groovy;Python;Rust,74483.0
France,6.0,2.0,2.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;Dart;HTML/CSS;Java;Python;SQL,62112.0
France,13.0,3.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",PowerShell;Python;SQL,47119.0
France,8.0,4.0,4.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;Java;JavaScript;PHP;Python;R;SQL;VBA,48940.0
United States of America,8.0,5.0,,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;SQL,140000.0
Spain,14.0,8.0,9.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python,48190.0
United Kingdom of Great Britain and Northern Ireland,8.0,3.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);JavaScript;Python,111724.0
Switzerland,15.0,5.0,,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;C++;JavaScript;Python;R,143281.0
United Kingdom of Great Britain and Northern Ireland,10.0,7.0,6.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;Rust;Scala,86897.0
Netherlands,17.0,14.0,14.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Java;JavaScript;Python;SQL,98522.0
Spain,6.0,1.0,1.0,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;Dart;Groovy;Java;Python;SQL,33198.0
Germany,3.0,2.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);PowerShell;Python,74963.0
Other,3.0,1.0,1.0,Data scientist or machine learning specialist,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",F#;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript,53545.0
Netherlands,10.0,5.0,,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Assembly;Bash/Shell (all shells);C;C#;C++;Fortran;HTML/CSS;MATLAB;Objective-C;Python;R;SQL;Visual Basic (.Net),53545.0
United States of America,8.0,4.0,5.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;Java;JavaScript;Scala;SQL,120000.0
United States of America,25.0,25.0,25.0,Data or business analyst,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",MATLAB;Python;R;SQL;Visual Basic (.Net),90000.0
United Kingdom of Great Britain and Northern Ireland,20.0,10.0,,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",R,141207.0
Belgium,10.0,7.0,,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,74963.0
Australia,6.0,1.0,15.0,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R;SAS;SQL,39662.0
India,15.0,8.0,,Scientist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python,66643.0
Spain,5.0,3.0,3.0,Data or business analyst,25-34 years old,"Associate degree (A.A., A.S., etc.)",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;TypeScript,34269.0
Netherlands,5.0,3.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Java;Python,69608.0
Italy,31.0,27.0,27.0,"Engineer, data",45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;Python;SQL;Zig,64254.0
Germany,6.0,4.0,5.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python,85672.0
Other,10.0,5.0,4.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,42836.0
France,20.0,15.0,,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Python,160634.0
Canada,17.0,2.0,2.0,Scientist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C;C++;Python,78069.0
Other,24.0,22.0,22.0,"Engineer, data",35-44 years old,"Associate degree (A.A., A.S., etc.)",C;Python;Visual Basic (.Net),36310.0
Other,22.0,20.0,,Data or business analyst,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;HTML/CSS;Java;JavaScript;PHP,20705.0
Other,8.0,6.0,,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,85672.0
Spain,9.0,2.0,2.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C++;Python;SQL,32127.0
Netherlands,13.0,13.0,13.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;SQL,48190.0
United Kingdom of Great Britain and Northern Ireland,20.0,20.0,25.0,"Engineer, data",35-44 years old,Some college/university study without earning a degree,Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,109242.0
Austria,8.0,4.0,8.0,Scientist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python;Rust,46049.0
United States of America,5.0,4.0,4.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;Python;SQL;TypeScript,150000.0
Other,20.0,13.0,,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Go;Java;SQL;TypeScript,67869.0
Poland,10.0,8.0,8.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;Scala;SQL,83742.0
Germany,13.0,13.0,13.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,44978.0
United Kingdom of Great Britain and Northern Ireland,2.0,1.0,2.0,"Engineer, data",18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);PowerShell;Python;SQL,55862.0
Sweden,20.0,8.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;JavaScript;Python,49756.0
Finland,11.0,11.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Assembly;Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;SQL;TypeScript,55687.0
Germany,15.0,10.0,15.0,Data scientist or machine learning specialist,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Java;Python;R,91026.0
Spain,12.0,8.0,8.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Lua;Python;SQL,91026.0
France,7.0,2.0,2.0,Data scientist or machine learning specialist,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;C#;C++;HTML/CSS;JavaScript;Python,59970.0
Poland,25.0,20.0,20.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python,102883.0
United Kingdom of Great Britain and Northern Ireland,12.0,8.0,9.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C++;HTML/CSS;Julia;Kotlin;MATLAB;Python;R,191173.0
Brazil,17.0,13.0,,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python;SQL,27504.0
Spain,6.0,5.0,8.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);HTML/CSS;Python;R;SQL,38552.0
Brazil,15.0,9.0,10.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python;SQL,64920.0
United States of America,15.0,12.0,,Scientist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Assembly;Bash/Shell (all shells);C;C++;Fortran;Haskell;HTML/CSS;JavaScript;Julia;Lisp;MATLAB;Perl;PHP;Python;R;SQL,165000.0
United Kingdom of Great Britain and Northern Ireland,10.0,6.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,74483.0
United Kingdom of Great Britain and Northern Ireland,9.0,7.0,,Scientist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Dart;HTML/CSS;JavaScript;Python,69517.0
United States of America,20.0,15.0,,"Engineer, data",25-34 years old,"Associate degree (A.A., A.S., etc.)",Python,205000.0
United States of America,18.0,14.0,,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C++;Python,160000.0
United Kingdom of Great Britain and Northern Ireland,12.0,5.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,291725.0
Germany,4.0,1.0,,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Python;R;SQL,3695.0
United Kingdom of Great Britain and Northern Ireland,24.0,14.0,16.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);JavaScript;Python,144599.0
United Kingdom of Great Britain and Northern Ireland,2.0,0.5,1.0,Data or business analyst,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;Python;R;SQL,37862.0
Other,10.0,6.0,6.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Python;SQL,36783.0
United States of America,5.0,3.0,,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Java;Python,125000.0
Other,10.0,4.0,4.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Assembly;Bash/Shell (all shells);C;C++;Java;Python;Rust,31056.0
United Kingdom of Great Britain and Northern Ireland,6.0,3.0,4.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,86897.0
Brazil,14.0,2.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;C++;Java;Python,24345.0
United States of America,42.0,23.0,,Data or business analyst,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Assembly;Bash/Shell (all shells);Python;R;Rust;SQL;VBA,150000.0
Brazil,13.0,1.0,1.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python;SQL,38952.0
Austria,12.0,4.0,4.0,Scientist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL;Swift;Visual Basic (.Net),53545.0
United Kingdom of Great Britain and Northern Ireland,2.0,1.0,2.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",PowerShell;Python;VBA,43448.0
Germany,11.0,6.0,6.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Lua;Python;SQL,96381.0
United Kingdom of Great Britain and Northern Ireland,32.0,30.0,,"Engineer, data",45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;PowerShell;Python;SQL,67035.0
France,10.0,10.0,21.0,Data or business analyst,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",PowerShell;Python;SQL,42836.0
United Kingdom of Great Britain and Northern Ireland,2.0,0.5,0.0,"Engineer, data",18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript;VBA,43448.0
Brazil,7.0,7.0,8.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;R;SQL,25055.0
Other,10.0,9.0,10.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Python;SQL;Swift,66368.0
United States of America,7.0,7.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;SQL;TypeScript,280000.0
Other,15.0,13.0,12.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Clojure;HTML/CSS;Lisp;Python;SQL,69394.0
Other,15.0,15.0,20.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA;Visual Basic (.Net),38904.0
Canada,10.0,9.0,10.0,"Engineer, data",55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Python,100374.0
United States of America,9.0,7.0,12.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Go;Java;Python;R;Scala;SQL,280000.0
United Kingdom of Great Britain and Northern Ireland,7.0,5.0,10.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,105517.0
United States of America,17.0,15.0,15.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;Python;R;SQL,210000.0
United States of America,13.0,12.0,13.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;F#;JavaScript;PowerShell;Python;SQL;TypeScript,260000.0
United States of America,8.0,7.0,8.0,"Engineer, data",45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;Python;R;SQL;VBA,130000.0
Poland,10.0,8.0,12.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Ada;Assembly;Bash/Shell (all shells);C;C#;C++;Delphi;Fortran;Haskell;HTML/CSS;Java;JavaScript;Lua;MATLAB;Objective-C;Perl;PHP;PowerShell;Prolog;Python;R;Ruby;SAS;SQL;TypeScript;VBA;Visual Basic (.Net),31104.0
United States of America,12.0,8.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,120000.0
Canada,3.0,2.0,3.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;PowerShell;Python;R;SQL,74351.0
United States of America,16.0,6.0,6.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Python;Scala;SQL;Swift,250000.0
United States of America,12.0,6.0,10.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,100000.0
Denmark,8.0,2.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;C#;C++;Go;HTML/CSS;Java;MATLAB;Python;TypeScript,71892.0
Germany,17.0,7.0,,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python,89955.0
United States of America,8.0,6.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;Python;SQL;TypeScript,140000.0
Other,12.0,6.0,10.0,Data scientist or machine learning specialist,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;R;SQL,1548.0
United States of America,15.0,15.0,,Scientist,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Dart;HTML/CSS;JavaScript;Python;R;SQL;Swift;VBA,200000.0
United States of America,3.0,3.0,,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",R;SQL,100000.0
United States of America,10.0,7.0,8.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);JavaScript;Python;R;SQL;TypeScript,200000.0
United States of America,20.0,20.0,20.0,Data scientist or machine learning specialist,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,120000.0
Other,15.0,3.0,36.0,"Engineer, data",55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;HTML/CSS;Java;JavaScript;MATLAB;Python;VBA,9850.0
United States of America,4.0,4.0,,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,109000.0
United States of America,17.0,11.0,11.0,Scientist,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;JavaScript;PowerShell;Python;SQL,150000.0
United States of America,7.0,0.5,,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;SQL,58000.0
United States of America,28.0,24.0,25.0,Scientist,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Perl;Python;R;SQL,130000.0
United States of America,16.0,4.0,,Scientist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C#;Dart;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;SQL,107000.0
United States of America,6.0,0.5,1.0,Data scientist or machine learning specialist,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,74000.0
Austria,7.0,2.0,2.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C++;JavaScript;Python;Swift,58899.0
Other,12.0,12.0,12.0,"Engineer, data",35-44 years old,"Associate degree (A.A., A.S., etc.)",Python;SQL,31486.0
United States of America,35.0,35.0,35.0,Data or business analyst,55-64 years old,Some college/university study without earning a degree,Bash/Shell (all shells);C#;PowerShell;SQL,250000.0
United States of America,20.0,13.0,19.0,"Engineer, data",35-44 years old,"Associate degree (A.A., A.S., etc.)",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL,205000.0
Netherlands,16.0,12.0,12.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;Python;R;Scala;SQL,85672.0
United Kingdom of Great Britain and Northern Ireland,6.0,3.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;R;SAS;SQL,86897.0
France,10.0,3.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,53545.0
Other,21.0,7.0,7.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R;SQL,62489.0
Canada,25.0,18.0,18.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,208478.0
United States of America,4.0,4.0,10.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python,110000.0
United States of America,5.0,0.5,1.0,Data or business analyst,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R;SQL;VBA,50000.0
United States of America,10.0,5.0,29.0,Data or business analyst,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);PowerShell;R;SQL,70000.0
Germany,14.0,8.0,8.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;Scala;SQL,78175.0
United States of America,21.0,11.0,11.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python,135000.0
United States of America,8.0,7.0,8.0,Data scientist or machine learning specialist,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;Python;R;SQL,197500.0
United States of America,20.0,10.0,10.0,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Lisp;MATLAB;Objective-C;Python,160000.0
Sweden,7.0,5.0,8.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Go;JavaScript;PowerShell;Python;SQL,78320.0
Other,5.0,3.0,,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python,13044.0
United States of America,15.0,13.0,13.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",PowerShell;Python;SQL,116000.0
Austria,7.0,2.0,2.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Kotlin;PowerShell;Python;Rust;SQL,58899.0
Germany,15.0,10.0,10.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,101735.0
United States of America,13.0,13.0,,Data or business analyst,35-44 years old,Some college/university study without earning a degree,VBA,81000.0
United States of America,17.0,13.0,,Data scientist or machine learning specialist,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Java;Perl;Python;SQL,181000.0
Brazil,10.0,10.0,,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",R;VBA,47465.0
United States of America,7.0,5.0,7.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;Lua;Python;R;SQL,90000.0
Other,11.0,8.0,8.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,88000.0
United States of America,10.0,7.0,10.0,Data or business analyst,35-44 years old,"Associate degree (A.A., A.S., etc.)",C#;JavaScript;PowerShell;Python;VBA;Visual Basic (.Net),92000.0
Finland,15.0,12.0,12.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;Java;JavaScript;PowerShell;Python;R;SQL,73892.0
United States of America,20.0,10.0,18.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);R;SQL,367000.0
United States of America,20.0,10.0,16.0,Data or business analyst,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Python,150000.0
United States of America,7.0,5.0,8.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);HTML/CSS;MATLAB;Python;R;SQL,225000.0
Germany,10.0,7.0,8.0,"Engineer, data",35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C++;Java;Lisp;MATLAB;Python;R;SQL,94239.0
United States of America,10.0,5.0,,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,200000.0
United States of America,13.0,8.0,10.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R;SQL,120000.0
United States of America,32.0,7.0,,"Engineer, data",45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,195000.0
United States of America,15.0,13.0,20.0,"Engineer, data",25-34 years old,Some college/university study without earning a degree,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,150000.0
United States of America,40.0,34.0,34.0,Data or business analyst,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C++;HTML/CSS;JavaScript;PHP;R;SQL,125000.0
Denmark,12.0,6.0,6.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C++;Python;Swift,72468.0
United States of America,5.0,4.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python;SQL,85000.0
Canada,12.0,8.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Python;SQL,148703.0
United States of America,7.0,4.0,7.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;R;SQL,170000.0
Italy,14.0,2.0,2.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,31056.0
United States of America,15.0,13.0,14.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java,165000.0
United States of America,25.0,22.0,24.0,"Engineer, data",45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Scala;SQL,252000.0
United Kingdom of Great Britain and Northern Ireland,27.0,19.0,,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,127862.0
Other,20.0,8.0,,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Java;Python;SQL,74963.0
United States of America,10.0,5.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Go;Kotlin;Python,270000.0
United States of America,8.0,8.0,,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,137000.0
United States of America,35.0,15.0,20.0,Data or business analyst,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,83000.0
United Kingdom of Great Britain and Northern Ireland,24.0,15.0,15.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Nim;Python;R,124138.0
